number	hits	start	end	length	score	scaff	strand	taxon_name	taxon_id
557	WP_000192965.1,WP_000067632.1	1219189	1223054	3870	1222	NZ_CP012720.1		GCF_001683135.1	1392
558	WP_000192965.1,WP_000067632.1	1219192	1223057	3870	1222	NZ_CP019588.1		GCF_001990245.1	1392
559	WP_000067632.1,WP_000192965.1	111360	115225	3870	1222	NZ_MVIR01000011.1		GCF_002019425.1	1392
560	WP_000192964.1,WP_000067632.1	219429	223294	3870	1222	NZ_NFDQ01000075.1		GCF_002146905.1	180867
561	WP_098275483.1,WP_098095513.1	6950	10815	3870	1222	NZ_NTRC01000020.1		GCF_002560325.1	1396
562	WP_000193001.1,WP_001061542.1	84071	87936	3870	1222	NZ_LXLK01000007.1		GCF_001756265.1	1890302
563	WP_001978361.1,WP_001978363.1	1260450	1264315	3870	1222	NZ_CP020937.1		GCF_002117465.1	2026188
564	WP_097917784.1,WP_097917783.1	222086	225951	3870	1222	NZ_NUCU01000013.1		GCF_002555085.1	1890302
565	WP_098155164.1,WP_098115474.1	101924	105789	3870	1222	NZ_NUDB01000004.1		GCF_002555155.1	1890302
566	WP_088062531.1,WP_087984771.1	76171	80036	3870	1222	NZ_NUDC01000006.1		GCF_002555165.1	1890302
567	WP_088062531.1,WP_087984771.1	108366	112231	3870	1222	NZ_NUDD01000011.1		GCF_002555265.1	1890302
568	WP_098101835.1,WP_098101837.1	60222	64087	3870	1222	NZ_NUDL01000012.1		GCF_002555385.1	1890302
569	WP_098095512.1,WP_098095513.1	21031	24896	3870	1222	NZ_NUDI01000002.1		GCF_002555485.1	1890302
570	WP_098116255.1,WP_098116256.1	10154	14019	3870	1222	NZ_NUER01000014.1		GCF_002556425.1	1890302
571	WP_087984771.1,WP_088062531.1	20372	24237	3870	1222	NZ_NUAQ01000016.1		GCF_002556825.1	1890302
572	WP_000192965.1,WP_000067632.1	4212281	4216146	3870	1222	NZ_CP023001.1		GCF_002277915.1	1392
573	WP_071708929.1,WP_000193004.1	95280	99145	3870	1222	NZ_MAOD01000017.1		GCF_001884145.1	1866312
574	WP_071758952.1,WP_048526752.1	124619	128484	3870	1222	NZ_MAOE01000121.1		GCF_001884185.1	2026189
575	WP_046198555.1,WP_046198554.1	207967	211832	3870	1222	NZ_MAOH01000078.1		GCF_001884215.1	1866317
576	WP_071715904.1,WP_071715905.1	38032	41897	3870	1222	NZ_MAOF01000057.1		GCF_001884225.1	1866315
577	WP_000067628.1,WP_073526108.1	26326	30191	3870	1222	NZ_MPOL01000016.1		GCF_001901235.1	1396
578	WP_073517496.1,WP_073517497.1	173272	177137	3870	1222	NZ_MPOM01000001.1		GCF_001901245.1	1396
579	WP_073517496.1,WP_073517497.1	173542	177407	3870	1222	NZ_MPON01000004.1		GCF_001901305.1	1396
580	WP_078383584.1,WP_078383585.1	83386	87251	3870	1222	NZ_MQTC01000004.1		GCF_002021355.1	1396
581	WP_001990994.1,WP_001990996.1	193542	197407	3870	1222	NZ_MQTE01000026.1		GCF_002021385.1	1396
582	WP_070805524.1,WP_070805525.1	1218737	1222602	3870	1222	NZ_CP017016.1		GCF_001831375.1	1892404
583	WP_000067632.1,WP_000192965.1	443399	447264	3870	1222	NZ_MLJX01000003.1		GCF_001835485.1	1392
584	WP_075395482.1,WP_075395481.1	1194184	1198049	3870	1222	NZ_CP018933.1		GCF_001941885.1	1396
585	WP_075395481.1,WP_075395482.1	4060767	4064632	3870	1222	NZ_CP018931.1		GCF_001941905.1	1396
586	WP_075395481.1,WP_075395482.1	459141	463006	3870	1222	NZ_CP018935.1		GCF_001941925.1	1396
587	WP_076869266.1,WP_076869267.1	358070	361935	3870	1222	NZ_MLKL01000002.1		GCF_001982845.1	1396
588	WP_088062531.1,WP_087984771.1	108366	112231	3870	1222	NZ_NVOA01000026.1		GCF_002552205.1	1890302
589	WP_075395482.1,WP_075395481.1	253684	257549	3870	1222	NZ_NBNR01000004.1		GCF_002151615.1	1973490
590	WP_075395482.1,WP_075395481.1	84518	88383	3870	1222	NZ_NBNU01000005.1		GCF_002151625.1	1973493
591	WP_075395481.1,WP_075395482.1	4709	8574	3870	1222	NZ_NBNT01000016.1		GCF_002151665.1	1973492
592	WP_075395481.1,WP_075395482.1	4685	8550	3870	1222	NZ_NBNV01000019.1		GCF_002151675.1	1973494
593	WP_087957841.1,WP_087957843.1	473270	477135	3870	1222	NZ_NFCL01000042.1		GCF_002146505.1	180843
594	WP_087957841.1,WP_087957843.1	473270	477135	3870	1222	NZ_NFCZ01000037.1		GCF_002146605.1	180871
595	WP_087957841.1,WP_087957843.1	473440	477305	3870	1222	NZ_NFDB01000024.1		GCF_002146655.1	180859
596	WP_087984771.1,WP_087984772.1	232639	236504	3870	1222	NZ_NFDD01000048.1		GCF_002146695.1	180878
597	WP_088119096.1,WP_088119097.1	46748	50613	3870	1222	NZ_NFDL01000027.1		GCF_002146825.1	180881
598	WP_000192965.1,WP_000067632.1	4019479	4023344	3870	1222	NZ_CP022044.1		GCF_002208785.1	1392
599	WP_000067616.1,WP_000192959.1	169807	173672	3870	1222	NZ_NELX01000003.1		GCF_002233615.1	1972845
600	WP_000067632.1,WP_000192965.1	442905	446770	3870	1222	NZ_NRIZ01000002.1		GCF_002525705.1	1392
601	WP_000067632.1,WP_000192965.1	443007	446872	3870	1222	NZ_JSZZ01000012.1		GCF_000793565.1	1392
602	WP_075395482.1,WP_075395481.1	244825	248690	3870	1222	NZ_NBNS01000003.1		GCF_002151605.1	1973491
603	WP_000192965.1,WP_000067632.1	16777	20642	3870	1222	NZ_JAGJDG010000050.1		GCF_017813825.1	1392
604	WP_000067629.1,WP_000192969.1	434362	438227	3870	1222	NZ_NFCX01000035.1		GCF_002147005.1	180874
605	WP_087957841.1,WP_087957843.1	473621	477486	3870	1222	NZ_NFCY01000025.1		GCF_002147025.1	180891
606	WP_088092201.1,WP_088092202.1	10313	14178	3870	1222	NZ_NFDE01000016.1		GCF_002147065.1	1890302
607	WP_000067618.1,WP_000192964.1	189430	193295	3870	1222	NZ_MOOJ01000046.1		GCF_002147835.1	180872
608	WP_087984771.1,WP_087984772.1	176707	180572	3870	1222	NZ_MOOQ01000049.1		GCF_002147985.1	180875
609	WP_075395482.1,WP_075395481.1	109135	113000	3870	1222	NZ_NCLG01000002.1		GCF_002150025.1	1977090
610	WP_097840658.1,WP_087957841.1	129378	133243	3870	1222	NZ_NVLX01000007.1		GCF_002550475.1	1392
611	WP_097857473.1,WP_097857474.1	540181	544046	3870	1222	NZ_NVOH01000011.1		GCF_002550635.1	1890302
612	WP_087957843.1,WP_087957841.1	191112	194977	3870	1222	NZ_NVMH01000022.1		GCF_002550645.1	2033516
613	WP_097907406.1,WP_097857474.1	4611	8476	3870	1222	NZ_NVOK01000123.1		GCF_002553125.1	1890302
614	WP_097917783.1,WP_097917784.1	427	4292	3870	1222	NZ_NVPD01000026.1		GCF_002553405.1	1890302
615	WP_087984771.1,WP_088062531.1	20424	24289	3870	1222	NZ_NUEA01000009.1		GCF_002555735.1	1890302
616	WP_097917784.1,WP_097917783.1	124926	128791	3870	1222	NZ_NUEG01000010.1		GCF_002555855.1	1890302
617	WP_097994393.1,WP_097994392.1	222578	226443	3870	1222	NZ_NUBW01000002.1		GCF_002557475.1	1890302
618	WP_097917783.1,WP_097917784.1	427	4292	3870	1222	NZ_NUDX01000012.1		GCF_002557675.1	1890302
619	WP_001061542.1,WP_000193001.1	75367	79232	3870	1222	NZ_NUAD01000004.1		GCF_002557855.1	1890302
620	WP_098095512.1,WP_098095513.1	28454	32319	3870	1222	NZ_NUEL01000027.1		GCF_002555945.1	1890302
621	WP_098146785.1,WP_087984771.1	7040	10905	3870	1222	NZ_NUEV01000064.1		GCF_002556085.1	1890302
622	WP_097917783.1,WP_097917784.1	377	4242	3870	1222	NZ_NUET01000008.1		GCF_002556095.1	1890302
623	WP_098098493.1,WP_098098494.1	176268	180133	3870	1222	NZ_NUAU01000011.1		GCF_002556915.1	1890302
624	WP_098111131.1,WP_088048344.1	25671	29536	3870	1222	NZ_NUAV01000039.1		GCF_002557015.1	1890302
625	WP_097994392.1,WP_097917784.1	365	4230	3870	1222	NZ_NUBD01000012.1		GCF_002557085.1	1890302
626	WP_097917783.1,WP_098149827.1	171	4036	3870	1222	NZ_NUBB01000014.1		GCF_002557155.1	1890302
627	WP_097917783.1,WP_097917784.1	480	4345	3870	1222	NZ_NUBI01000016.1		GCF_002557205.1	1890302
628	WP_098200839.1,WP_098200840.1	25505	29370	3870	1222	NZ_NUBM01000019.1		GCF_002557295.1	1890302
629	WP_087984771.1,WP_088062531.1	497467	501332	3870	1222	NZ_NUBO01000012.1		GCF_002557345.1	1890302
630	WP_000192965.1,WP_042513676.1	25081	28946	3870	1222	NZ_LVWF01000026.1		GCF_002233635.1	1392
631	WP_000067632.1,WP_000192965.1	4246814	4250679	3870	1222	NZ_AP014833.1		GCF_002356575.1	1392
632	WP_000192965.1,WP_000067632.1	35915	39780	3870	1222	NZ_NRIW01000009.1		GCF_002525685.1	1392
633	WP_000067632.1,WP_000192965.1	442981	446846	3870	1222	NZ_NRIY01000003.1		GCF_002525695.1	1392
634	WP_098275483.1,WP_098095513.1	124524	128389	3870	1222	NZ_NTUZ01000003.1		GCF_002561565.1	1396
635	WP_000192965.1,WP_000067632.1	471930	475795	3870	1222	NZ_PPEP01000004.1		GCF_002896635.1	1392
636	WP_000192965.1,WP_000067632.1	472433	476298	3870	1222	NZ_PPEM01000004.1		GCF_002896655.1	1392
637	WP_000067632.1,WP_000192965.1	459912	463777	3870	1222	NZ_PPER01000001.1		GCF_002896665.1	1392
638	WP_000067632.1,WP_000192965.1	443029	446894	3870	1222	NZ_PPES01000002.1		GCF_002896695.1	1392
639	WP_098555454.1,WP_098555455.1	58528	62393	3870	1222	NZ_NUXH01000027.1		GCF_002566425.1	1392
640	WP_098324492.1,WP_098324493.1	112554	116419	3870	1222	NZ_NUYK01000025.1		GCF_002566595.1	1396
641	WP_098095512.1,WP_098095513.1	125664	129529	3870	1222	NZ_NUXK01000025.1		GCF_002565605.1	1396
642	WP_098857346.1,WP_088062531.1	85575	89440	3870	1222	NZ_NUTN01000012.1		GCF_002582515.1	1890302
643	WP_088062531.1,WP_087984771.1	179607	183472	3870	1222	NZ_NUTS01000017.1		GCF_002585485.1	1890302
644	WP_099686112.1,WP_099686113.1	45164	49029	3870	1222	NZ_NWUW01000028.1		GCF_002746455.1	2039284
645	WP_097917783.1,WP_097917784.1	427	4292	3870	1222	NZ_NVGX01000017.1		GCF_002568955.1	1890302
646	WP_097917783.1,WP_098639688.1	1685	5550	3870	1222	NZ_NVGL01000016.1		GCF_002569165.1	1890302
647	WP_098822365.1,WP_001061542.1	317802	321667	3870	1222	NZ_NUQY01000001.1		GCF_002579445.1	1890302
648	WP_001061542.1,WP_000193002.1	75366	79231	3870	1222	NZ_NUQO01000004.1		GCF_002579545.1	1890302
649	WP_097917783.1,WP_097917784.1	364	4229	3870	1222	NZ_NURG01000015.1		GCF_002579945.1	1890302
650	WP_097917783.1,WP_097917784.1	427	4292	3870	1222	NZ_NURM01000003.1		GCF_002580235.1	1890302
651	WP_098095512.1,WP_098095513.1	28454	32319	3870	1222	NZ_NURY01000024.1		GCF_002580565.1	1890302
652	WP_101195533.1,WP_101195534.1	3914352	3918217	3870	1222	NZ_CP025122.1		GCF_002833485.1	2053832
653	WP_101166235.1,WP_101166237.1	614436	618301	3870	1222	NZ_PJCU01000002.1		GCF_002837395.1	2056493
654	WP_098815429.1,WP_060489409.1	1195035	1198900	3870	1222	NZ_PVRQ01000001.1		GCF_002998955.1	1890302
655	WP_106101353.1,WP_098815429.1	412332	416197	3870	1222	NZ_PVRR01000001.1		GCF_002998975.1	1890302
656	WP_087984771.1,WP_088062531.1	481252	485117	3870	1222	NZ_PVRU01000005.1		GCF_002998985.1	1890302
657	WP_098815429.1,WP_106074353.1	705394	709259	3870	1222	NZ_PVRT01000001.1		GCF_002999015.1	1890302
658	WP_098815429.1,WP_106074353.1	705160	709025	3870	1222	NZ_PVRS01000001.1		GCF_002999025.1	1890302
659	WP_097994393.1,WP_097994392.1	278981	282846	3870	1222	NZ_NVIF01000001.1		GCF_002571525.1	1890302
660	WP_097917783.1,WP_098149827.1	171	4036	3870	1222	NZ_NVIO01000041.1		GCF_002571635.1	1890302
661	WP_098653940.1,WP_098653939.1	110376	114241	3870	1222	NZ_NVIY01000041.1		GCF_002571725.1	1890302
662	WP_000193002.1,WP_001061542.1	176234	180099	3870	1222	NZ_NVJD01000028.1		GCF_002571785.1	1890302
663	WP_098116255.1,WP_098116256.1	78294	82159	3870	1222	NZ_NVJH01000002.1		GCF_002571795.1	1890302
664	WP_088062531.1,WP_087984771.1	76158	80023	3870	1222	NZ_NVFZ01000040.1		GCF_002569595.1	1890302
665	WP_098653939.1,WP_098653940.1	365766	369631	3870	1222	NZ_NVGF01000011.1		GCF_002569665.1	1890302
666	WP_098116255.1,WP_098631892.1	160355	164220	3870	1222	NZ_NVGJ01000003.1		GCF_002569675.1	1890302
667	WP_048561473.1,WP_098650176.1	28615	32480	3870	1222	NZ_NVGQ01000044.1		GCF_002569715.1	1890302
668	WP_000193002.1,WP_098715506.1	17818	21683	3870	1222	NZ_NVJF01000141.1		GCF_002572045.1	1890302
669	WP_097917784.1,WP_097917783.1	210551	214416	3870	1222	NZ_NVJV01000016.1		GCF_002572145.1	1890302
670	WP_098653940.1,WP_098653939.1	329277	333142	3870	1222	NZ_NVIK01000001.1		GCF_002572225.1	1890302
671	WP_000192965.1,WP_000067632.1	1219675	1223540	3870	1222	NZ_CP066168.1		GCF_002980615.3	1392
672	WP_098815429.1,WP_060489409.1	476730	480595	3870	1222	NZ_NUSP01000011.1		GCF_002581055.1	1890302
673	WP_001978363.1,WP_001978361.1	107839	111704	3870	1222	NZ_NUQD01000016.1		GCF_002581245.1	2034280
674	WP_097917783.1,WP_098149827.1	251	4116	3870	1222	NZ_NUUI01000024.1		GCF_002588915.1	1890302
675	WP_061185267.1,WP_103102088.1	170583	174448	3870	1222	NZ_POYG01000001.1		GCF_002896395.1	2072506
676	WP_000192965.1,WP_000067632.1	473472	477337	3870	1222	NZ_PPEO01000001.1		GCF_002896575.1	1392
677	WP_000192965.1,WP_000067632.1	472293	476158	3870	1222	NZ_PPEN01000004.1		GCF_002896585.1	1392
678	WP_097917783.1,WP_097917784.1	364	4229	3870	1222	NZ_NVFC01000018.1		GCF_002568685.1	1890302
679	WP_098101837.1,WP_098101835.1	79898	83763	3870	1222	NZ_NVHJ01000033.1		GCF_002570035.1	1890302
680	WP_000193001.1,WP_001061542.1	36564	40429	3870	1222	NZ_NVHO01000177.1		GCF_002570135.1	1890302
681	WP_000192969.1,WP_000067629.1	133542	137407	3870	1222	NZ_NVHS01000023.1		GCF_002570225.1	1392
682	WP_000193002.1,WP_001061542.1	180583	184448	3870	1222	NZ_NVHU01000004.1		GCF_002570255.1	1890302
683	WP_098627705.1,WP_087984771.1	76131	79996	3870	1222	NZ_NVHV01000019.1		GCF_002570265.1	1890302
684	WP_097994393.1,WP_097994392.1	234565	238430	3870	1222	NZ_NVHZ01000015.1		GCF_002570335.1	1890302
685	WP_098670135.1,WP_098670136.1	20980	24845	3870	1222	NZ_NVEC01000065.1		GCF_002571225.1	2033508
686	WP_098720239.1,WP_098720240.1	366108	369973	3870	1222	NZ_NVID01000001.1		GCF_002571465.1	1890302
687	WP_001061542.1,WP_098822365.1	75372	79237	3870	1222	NZ_NUQI01000007.1		GCF_002578895.1	1890302
688	WP_097917783.1,WP_097917784.1	251	4116	3870	1222	NZ_NUQP01000020.1		GCF_002579175.1	1890302
689	WP_097917783.1,WP_097917784.1	365	4230	3870	1222	NZ_NUSX01000030.1		GCF_002581905.1	1890302
690	WP_097917783.1,WP_097917784.1	365	4230	3870	1222	NZ_NUTI01000024.1		GCF_002582255.1	1890302
691	WP_098653940.1,WP_098653939.1	84901	88766	3870	1222	NZ_NUTJ01000035.1		GCF_002582335.1	1890302
692	WP_000192965.1,WP_000067632.1	338665	342530	3870	1222	NZ_PPEQ01000003.1		GCF_002896595.1	1392
693	WP_097917784.1,WP_097917783.1	90746	94611	3870	1222	NZ_NUUP01000033.1		GCF_002589695.1	1890302
694	WP_000067632.1,WP_000192965.1	460898	464763	3870	1222	NZ_QANP01000005.1		GCF_003045745.2	1392
695	WP_000067616.1,WP_000192960.1	2521304	2525169	3870	1222	NZ_SOBJ01000011.1		GCF_004365675.1	2183999
696	WP_144613637.1,WP_144613639.1	511962	515827	3870	1222	NZ_VEDW01000003.1		GCF_007678085.1	1396
697	WP_087984772.1,WP_137035685.1	6704	10569	3870	1222	NZ_SZOO01000224.1		GCF_005217695.1	1890302
698	WP_138322299.1,WP_138322300.1	4030571	4034436	3870	1222	NZ_CP040515.1		GCF_005848985.1	2026186
699	WP_140968908.1,WP_140968909.1	516429	520294	3870	1222	NZ_VHIV01000001.1		GCF_006494425.1	3088378
700	WP_127813816.1,WP_127813817.1	9019	12884	3870	1222	NZ_LDER01000228.1		GCF_004009875.1	1428
701	WP_001978361.1,WP_001978363.1	481697	485562	3870	1222	NZ_VEMB01000002.1		GCF_007682035.1	2026188
702	WP_000192959.1,WP_000067616.1	200501	204366	3870	1222	NZ_VEMH01000007.1		GCF_007682135.1	2026186
703	WP_144532120.1,WP_144532122.1	26918	30783	3870	1222	NZ_VEMI01000002.1		GCF_007682155.1	2026186
704	WP_144660127.1,WP_097852230.1	215929	219794	3870	1222	NZ_VEMT01000001.1		GCF_007682405.1	2026188
705	WP_087984772.1,WP_087984771.1	116237	120102	3870	1222	NZ_QKQR01000013.1		GCF_008042305.1	2217814
706	WP_000105762.1,WP_147776342.1	80006	83871	3870	1222	NZ_QNUC01000012.1		GCF_008042375.1	2217822
707	WP_147807432.1,WP_147807433.1	93576	97441	3870	1222	NZ_QNUD01000010.1		GCF_008042405.1	2217818
708	WP_000192965.1,WP_000067631.1	89434	93299	3870	1222	NZ_NJGK01000044.1		GCF_008087155.1	1392
709	WP_001990994.1,WP_144623474.1	438697	442562	3870	1222	NZ_VDNI01000002.1		GCF_007665505.1	1396
710	WP_144507396.1,WP_000067619.1	270513	274378	3870	1222	NZ_VDPB01000001.1		GCF_007666385.1	1428
711	WP_000192965.1,WP_000067632.1	471839	475704	3870	1222	NZ_QPKP01000002.1		GCF_003345105.1	1392
712	WP_087965409.1,WP_131101662.1	3406003	3409868	3870	1222	NZ_CP036356.1		GCF_004322655.1	2529386
713	WP_000192967.1,WP_061530860.1	476895	480760	3870	1222	NZ_VEES01000001.1		GCF_007678495.1	1428
714	WP_087957841.1,WP_097840658.1	474102	477967	3870	1222	NZ_VEET01000003.1		GCF_007678525.1	1892404
715	WP_087957843.1,WP_087957841.1	463824	467689	3870	1222	NZ_VEFJ01000002.1		GCF_007678855.1	1396
716	WP_088048344.1,WP_088048343.1	107896	111761	3870	1222	NZ_QOZW01000005.1		GCF_008368885.1	2217815
717	WP_097994392.1,WP_097994393.1	710	4575	3870	1222	NZ_QOZX01000020.1		GCF_008368895.1	2217820
718	WP_149239382.1,WP_000193004.1	88143	92008	3870	1222	NZ_QPEK01000038.1		GCF_008368945.1	2217824
719	WP_071758952.1,WP_128974568.1	1300910	1304775	3870	1222	NZ_SDFS01000001.1		GCF_004116025.1	2026189
720	WP_128974568.1,WP_071758952.1	399724	403589	3870	1222	NZ_SDFP01000001.1		GCF_004116035.1	2026189
721	WP_128974568.1,WP_071758952.1	399616	403481	3870	1222	NZ_SDFO01000001.1		GCF_004116065.1	2026189
722	WP_071758952.1,WP_128974568.1	738055	741920	3870	1222	NZ_SDFQ01000001.1		GCF_004116085.1	2026189
723	WP_128974568.1,WP_071758952.1	399724	403589	3870	1222	NZ_SDFR01000001.1		GCF_004116415.1	2026189
724	WP_000192965.1,WP_000067631.1	1206241	1210106	3870	1222	NZ_CP029323.1		GCF_006088855.1	1392
725	WP_139869738.1,WP_139869739.1	12668	16533	3870	1222	NZ_VEPU01000015.1		GCF_006349595.1	2026187
726	WP_000193004.1,WP_000105762.1	341065	344930	3870	1222	NZ_VEPV01000004.1		GCF_006349625.1	2026188
727	WP_000105762.1,WP_000193004.1	109440	113305	3870	1222	NZ_VEPW01000007.1		GCF_006349645.1	2026188
728	WP_139896106.1,WP_139896107.1	141248	145113	3870	1222	NZ_VEPX01000010.1		GCF_006349665.1	2587157
729	WP_139872401.1,WP_139872402.1	110423	114288	3870	1222	NZ_VEPY01000005.1		GCF_006349675.1	2587158
730	WP_098254129.1,WP_144656363.1	524381	528246	3870	1222	NZ_VDUR01000003.1		GCF_007672275.1	2026188
731	WP_000067632.1,WP_000192965.1	373298	377163	3870	1222	NZ_QPKO01000003.1		GCF_003367985.1	1392
732	WP_000067632.1,WP_000192965.1	442999	446864	3870	1222	NZ_QPKQ01000002.1		GCF_003368005.1	1392
733	WP_000067616.1,WP_000192960.1	4683	8548	3870	1222	NZ_SWDD01000047.1		GCF_005117095.1	2026186
734	WP_097857474.1,WP_137012220.1	29785	33650	3870	1222	NZ_SZOL01000060.1		GCF_005217165.1	1890302
735	WP_000192965.1,WP_000067632.1	1219578	1223443	3870	1222	NZ_CP029805.1		GCF_003227955.1	1392
736	WP_029437891.1,WP_029437892.1	2996365	3000230	3870	1222	NZ_CP024771.1		GCF_003546665.1	1417985
737	WP_000192959.1,WP_000067616.1	550327	554192	3870	1222	NZ_CP033795.1		GCF_003812125.1	2576356
738	WP_000192977.1,WP_074567598.1	558373	562238	3870	1222	NZ_RQST01000002.1		GCF_003858675.1	2026187
739	WP_000067618.1,WP_000192964.1	13237	17102	3870	1222	NZ_SJQB01000055.1		GCF_004330405.1	1396
740	WP_000192965.1,WP_000067631.1	117544	121409	3870	1222	NZ_AP019731.1		GCF_006742565.1	1392
741	WP_098435682.1,WP_144473728.1	359750	363615	3870	1222	NZ_VEJV01000004.1		GCF_007676425.1	2026188
742	WP_000192965.1,WP_000067631.1	472952	476817	3870	1222	NZ_QAEH01000003.1		GCF_003063925.1	1392
743	WP_000192965.1,WP_000067632.1	471682	475547	3870	1222	NZ_QAEG01000003.1		GCF_003063945.1	1392
744	WP_000192965.1,WP_000067632.1	472697	476562	3870	1222	NZ_QAEI01000003.1		GCF_003063965.1	1392
745	WP_000192965.1,WP_000067632.1	471535	475400	3870	1222	NZ_QAEJ01000003.1		GCF_003063985.1	1392
746	WP_000067632.1,WP_000192965.1	459986	463851	3870	1222	NZ_QAEK01000003.1		GCF_003064005.1	1392
747	WP_000192965.1,WP_000067631.1	473346	477211	3870	1222	NZ_QAEM01000003.1		GCF_003064015.1	1392
748	WP_000067631.1,WP_000192965.1	379812	383677	3870	1222	NZ_QAEL01000005.1		GCF_003064045.1	1392
749	WP_000192965.1,WP_000067631.1	473346	477211	3870	1222	NZ_QAEN01000004.1		GCF_003064085.1	1392
750	WP_016088833.1,WP_098986152.1	114037	117902	3870	1222	NZ_QUQQ01000008.1		GCF_003399505.1	2293320
751	WP_016088833.1,WP_016088832.1	500687	504552	3870	1222	NZ_QUQR01000002.1		GCF_003400245.1	2293321
752	WP_016088832.1,WP_016088833.1	1026034	1029899	3870	1222	NZ_QUQU01000001.1		GCF_003400255.1	2293324
753	WP_098485891.1,WP_098485892.1	161145	165010	3870	1222	NZ_QURA01000002.1		GCF_003400345.1	2293329
754	WP_000067632.1,WP_000192965.1	442891	446756	3870	1222	NZ_QPEZ01000003.1		GCF_003335125.1	1392
755	WP_143880944.1,WP_143880945.1	1176602	1180467	3870	1222	NZ_CP034686.1		GCF_007363175.1	2499213
756	WP_076536041.1,WP_120341229.1	9756	13621	3870	1222	NZ_MCAT01000003.1		GCF_003610835.1	1890302
757	WP_151631257.1,WP_151631258.1	982029	985894	3870	1222	NZ_WBPD01000010.1		GCF_008923715.1	1436363
758	WP_151631258.1,WP_151631257.1	462152	466017	3870	1222	NZ_WBPF01000016.1		GCF_008923725.1	1650300
759	WP_172552848.1,WP_172552849.1	767420	771285	3870	1222	NZ_CP035727.2		GCF_012222085.2	257985
760	WP_000192965.1,WP_000067632.1	3662584	3666449	3870	1222	NZ_CP050970.1		GCF_012273315.1	1392
761	WP_000192965.1,WP_000067632.1	4035265	4039130	3870	1222	NZ_CP050971.1		GCF_012273335.1	1392
762	WP_000067632.1,WP_000192965.1	4296880	4300745	3870	1222	NZ_CP050972.1		GCF_012273355.1	1392
763	WP_000067632.1,WP_000192965.1	2332390	2336255	3870	1222	NZ_CP050973.1		GCF_012273375.1	1392
764	WP_000067616.1,WP_000192959.1	256599	260464	3870	1222	NZ_JAAVIL010000002.1		GCF_012395305.1	2026186
765	WP_168391746.1,WP_101195533.1	577319	581184	3870	1222	NZ_JAAVIN010000001.1		GCF_012395345.1	1396
766	WP_168897600.1,WP_070172312.1	477252	481117	3870	1222	NZ_JAANHY010000001.1		GCF_012624885.1	2596896
767	WP_000192965.1,WP_000067632.1	25394	29259	3870	1222	NZ_RXZS01000036.1		GCF_009669205.1	1392
768	WP_000192965.1,WP_000067632.1	9262	13127	3870	1222	NZ_RXZV01000060.1		GCF_009669225.1	1392
769	WP_000192965.1,WP_000067632.1	25368	29233	3870	1222	NZ_RXZW01000065.1		GCF_009669235.1	1392
770	WP_000192965.1,WP_000067632.1	25368	29233	3870	1222	NZ_RXZT01000073.1		GCF_009669265.1	1392
771	WP_000192965.1,WP_000067632.1	25368	29233	3870	1222	NZ_RXZU01000083.1		GCF_009669275.1	1392
772	WP_000192965.1,WP_000067632.1	472604	476469	3870	1222	NZ_VTZJ01000003.1		GCF_009831675.1	1392
773	WP_000192965.1,WP_000067632.1	1456767	1460632	3870	1222	NZ_WXXA01000005.1		GCF_009872975.1	1392
774	WP_000067632.1,WP_000192965.1	1838226	1842091	3870	1222	NZ_WUCT01000037.1		GCF_009872985.1	1392
775	WP_000192965.1,WP_000067632.1	4065371	4069236	3870	1222	NZ_WUCW01000029.1		GCF_009872995.1	1392
776	WP_000067632.1,WP_000192965.1	2352295	2356160	3870	1222	NZ_WUCV01000021.1		GCF_009873035.1	1392
777	WP_000192969.1,WP_000067629.1	3276351	3280216	3870	1222	NZ_CP053980.1		GCF_013267315.1	1428
778	WP_000192967.1,WP_000067633.1	2130856	2134721	3870	1222	NZ_CP053981.1		GCF_013267335.1	1428
779	WP_000192971.1,WP_000067629.1	761182	765047	3870	1222	NZ_CP053991.1		GCF_013267455.1	1396
780	WP_000067629.1,WP_000192971.1	1912893	1916758	3870	1222	NZ_CP053997.1		GCF_013267475.1	1396
781	WP_042513076.1,WP_000192967.1	368128	371993	3870	1222	NZ_CP053931.1		GCF_013267775.1	1396
782	WP_087994548.1,WP_173601731.1	352715	356580	3870	1222	NZ_JABSVD010000004.1		GCF_013284485.1	2026187
783	WP_000067650.1,WP_000192978.1	4248034	4251899	3870	1222	NZ_JADAMD010000007.1		GCF_014876595.1	2026187
784	WP_064476770.1,WP_064476769.1	96211	100076	3870	1222	NZ_LDFN01000074.1		GCF_015854565.1	1890302
785	WP_098555455.1,WP_098555454.1	110569	114434	3870	1222	NZ_JAEHBS010000004.1		GCF_016483525.1	1396
786	WP_199695331.1,WP_098857346.1	63151	67016	3870	1222	NZ_JAEHBI010000020.1		GCF_016483705.1	2794583
787	WP_000192965.1,WP_000067632.1	9204	13069	3870	1222	NZ_RXZR01000111.1		GCF_009669165.1	1392
788	WP_048526752.1,WP_071758952.1	2830797	2834662	3870	1222	NZ_CP040344.1		GCF_009740005.1	2026189
789	WP_000067632.1,WP_000192965.1	460078	463943	3870	1222	NZ_VTZK01000003.1		GCF_009831645.1	1392
790	WP_000192965.1,WP_000067632.1	1480358	1484223	3870	1222	NZ_WUCU01000028.1		GCF_009872955.1	1392
